No,Tanggal,Harga,Tertinggi,Terendah,Penutupan,Volume,Nilai,Frekuensi
946,24-Jan-20,3.88,3.93,3.86,3.92,58.524.000,228.477.732.000,5.107
947,23-Jan-20,3.86,3.88,3.83,3.88,41.077.400,158.582.106.000,4.082
948,22-Jan-20,3.89,3.89,3.85,3.86,45.839.800,177.418.886.000,7.928
949,21-Jan-20,3.81,3.9,3.81,3.89,78.014.400,301.916.596.000,10.51
950,20-Jan-20,3.82,3.84,3.8,3.81,73.599.200,280.827.575.000,9.897
951,17-Jan-20,3.86,3.87,3.8,3.81,119.904.100,457.351.417.000,16.475
952,16-Jan-20,3.89,3.89,3.83,3.85,118.903.100,457.601.370.000,14.395
953,15-Jan-20,3.96,3.96,3.87,3.88,147.583.300,575.777.004.000,16.679
954,14-Jan-20,3.98,4,3.94,3.95,95.058.600,375.744.371.000,10.743
955,13-Jan-20,4,4.03,3.99,4.03,61.913.800,248.325.684.000,6.67
956,10-Jan-20,3.98,3.99,3.95,3.98,48.099.000,191.275.385.000,5.903
957,9-Jan-20,3.92,3.97,3.92,3.96,37.580.300,148.405.253.000,7.861
958,8-Jan-20,3.92,3.95,3.9,3.9,52.402.600,205.267.042.000,7.055
959,7-Jan-20,3.93,3.97,3.92,3.94,51.837.600,204.199.573.000,6.125
960,6-Jan-20,3.93,3.97,3.93,3.96,42.908.900,169.443.670.000,6.659
961,3-Jan-20,3.96,3.98,3.93,3.98,70.032.900,277.295.942.000,7.524
962,2-Jan-20,3.97,4,3.9,3.91,52.094.000,204.757.994.000,8.948
